doi,fields
10.1111/j.1533-8525.2012.01244.x,Peer group_Developmental psychology_Psychology_Friendship_Alcohol_Racial composition_Social psychology
10.1016/j.trstmh.2007.05.012,Biotechnology_Pesticide_Anopheles gambiae_Malaria_Mosquito net_Permethrin_Anopheles_Metabolic resistance_Bed nets_Veterinary medicine_Biology
10.1016/j.forsciint.2014.01.013,Surgery_Emergency medicine_Breed_Novelty_Heroin_Drug_Hashish_Drug detection_Drug Sample_Training level_Medicine
10.1093/ee/nvx125,Integrated pest management_Ripening_Larva_PEST analysis_1-Octen-3-ol_Geosmin_Drosophila suzukii_Odor_Toxicology_Agronomy_Biology
10.1016/j.evolhumbehav.2015.02.002,Psychology_Inequity aversion_Stochastic game_Redress_Harm_Economic game_Inequality_Altruism_Social psychology
10.1007/s11292-007-9043-z,Actuarial science_Padding_Empirical evidence_Crime prevention_Proposition_Sanctions_Insurance fraud_Deterrence theory_Social psychology_Situational ethics
10.4172/2161-0673.100011610.4172/2161-0673.1000e127,Excretion_Analyte_Orders of magnitude (mass)_Internal medicine_Endocrinology_Urine_Creatinine_Immunoassay_Population_Bioinformatics_Medicine_Urinary system
10.1177/030802269105401203,Nursing_Local study_Northern ireland_Social Welfare_Questionnaire_Medicine
10.1080/10736700600601269,Enriched uranium_Particle detector_Nuclear physics_Nuclear material_Nuclear detection_Computer security_Computer science_Nuclear terrorism_Plutonium_Deterrence theory_Fissile material
10.1111/j.1541-0072.2001.tb02112.x,Psychology_Actuarial science_Human factors and ergonomics_Occupational safety and health_Injury prevention_Poison control_Suicide prevention_Deterrence theory_Certainty_Unbundling
10.1017/s0022381609990235,Business_Government_Public good_Law and economics_Law_Enforcement_Population_Incentive_Laboratory experiment_False positive paradox
10.1016/s0167-2681(02)00049-5,Actuarial science_Economics_Microeconomics_Reimbursement_Moral hazard_Collusion_Incentive_False accusation_Deterrence theory_Insurance policy_Certainty
10.1007/bf00320516,Host (biology)_Larva_Predation_Ecology_Paraponera clavata_Caterpillar_Hymenoptera_Instar_Generalist and specialist species_Biology
10.12816/0027061,Phytochemical_Xylopia aethiopica_Toxicity_Botany_Biology
10.1215/03616878-20-1-99,Business_Defensive medicine_Health care_Tort_Malpractice_Legislation_Damages_Health care reform_Enterprise liability_Public administration
10.1007/s00436-011-2261-3,Rhizome_Culex quinquefasciatus_Achyranthes aspera_Aedes aegypti_Officinalis_Traditional medicine_Botany_Steam distillation_Biology
10.1086/599286,Exploit_Political science_Sentence_Sanctions_Prison_Spell_Parliament_Natural experiment_Deterrence theory_Criminology
10.1562/si-03-24.110.1111/j.1751-1097.2004.tb00025.x,Ecosystem_Terrestrial plant_Predation_Ecology_Consumer_Generalist and specialist species_Herbivore_Terrestrial ecosystem_Trophic level_Biology
10.1603/029.102.0632,Horticulture_Infestation_Anastrepha_Tephritidae_Pheromone_Anastrepha ludens_Botany_Feces_Interspecific competition_Sex pheromone_Biology
10.3111/13696998.2014.897628,Psychiatry_Propensity score matching_Medical prescription_Oxycodone_Opioid_Abuse deterrent_Medical costs_Cost savings_Substance abuse_Medicine
10.1111/j.1524-4725.2005.3180110.1097/00042728-200508000-00001,Soft tissue_Pathology_Hyaluronic acid_Granuloma_Hyaluronidase_Toxicity_Medicine
10.1016/j.bcp.2011.07.075,Psychiatry_Reward system_Nicotinic agonist_Smoking cessation_Nicotine withdrawal_Nicotine_Chronic nicotine_Substance abuse_Addiction_Medicine
10.1666/10-027.1,Devonian_Fauna_Geology_Paleontology_Type species_Erbenochile_Eifelian_Acanthopyge_Trilobite_Systematics
10.1111/nph.12528,Anthocyanidin reductase_Glycosylation_Fragaria_Anthocyanin_Flavonols_Flavonoid biosynthesis_Biosynthesis_Biochemistry_Proanthocyanidin_Biology
10.1098/rspb.2011.0690,Psychology_Reciprocity (social psychology)_Sex change_Labroides_Cleaner fish_Cheating_Wrasse_Hermaphrodite_Change sex_Social psychology
10.1590/s0100-204x2006001000001,Horticulture_Rutin_Anticarsia gemmatalis_Biology
10.1016/j.aap.2006.02.010,Psychiatry_Engineering_Risk perception_Human factors and ergonomics_Injury prevention_Cannabis_Apprehension_Population_Driving under the influence_Poison control_Social psychology
10.1177/1090198108330000,Contingency management_Health education_Developmental psychology_Public health_Odds_Psychology_Interpersonal communication_Health promotion_Longitudinal study_Parenting styles
10.1257/aer.101.3.277,Ex-ante_Commit_Actuarial science_Economics_Tort_Adjudication_Class action_Sanctions_Deterrence theory_Cost of capital
10.1093/jleo/ewu012,Positive economics_Economics_Criminal law_Incentive_Deterrence theory_Dictator game_Social psychology_Crowding out
10.5244/c.24.11,Computer graphics (images)_Artificial intelligence_Dual-Energy Computed Tomography_Volumetric image_Computer vision_Computer science_Scale-invariant feature transform_Cognitive neuroscience of visual object recognition
10.1007/bf00167747,Flock_Canto_Predation_Ecology_Falconidae_Alauda_Falco columbarius_Animal ecology_Animal communication_Biology
10.1177/039463201102400212,Immunoglobulin E_Dermatology_Pediatrics_Allergy_Medical prescription_Asthma_Tolerability_Concomitant_Allergen immunotherapy_Allergists_Medicine
10.1186/s12978-018-0589-1,Public health_Psychology_Nursing_Psychological intervention_Tanzania_Childbirth_Health intervention_Population_Knowledge base_Developing country
10.1017/s0030605309990093,Cash crop_Crop_Geography_Human–wildlife conflict_National park_Crop protection_Pest control_Agroforestry_Sustainable agriculture
10.1111/j.1439-0310.1986.tb00995.x,Predation_Ecology_Graphosoma lineatum_Coreidae_Heteroptera_Pentatomidae_Eurydema_Coreus marginatus_Anting_Biology_Zoology
10.1111/j.1442-9993.2006.01639.x,Nectar_Predation_Ecology_Seed predation_Utetheisa ornatrix_Ectatomma_Hymenoptera_Herbivore_Botany_Biology_Predator
10.1016/j.pain.2013.07.025,Psychiatry_Personality_Young adult_Oxycodone_Hydrocodone_Drug_Opioid_Opioid-Related Disorders_Dose escalation_Medicine
10.3354/meps088093,Predation_Batesian mimicry_Octocorallia_Alcyonacea_Generalist and specialist species_Extinction_Species diversity_Interspecific competition_Biology_Zoology
10.1007/bf0226706110.1007/s004390050067,Isozyme_Internal medicine_Endocrinology_Genotype_CYP2E1_Polymorphism (computer science)_Allele_Aldehyde dehydrogenase_ALDH2_Allele frequency_Genetics_Biology
10.1093/icesjms/fsu221,Exclusive economic zone_Bycatch_Ecology_Archipelago_Sperm whale_Whale_Seabird_Fishery_Fishing_Demersal zone_Biology
10.2307/134839,Economics_Law_Law enforcement
10.1002/cbdv.201200358,Bioassay_Chemistry_Biting_Aedes aegypti_Permethrin_DEET_Cyclopaldic acid_Papyracillic acid_Active compound_Toxicology_Traditional medicine
10.1177/0093854810363569,Demography_Psychology_Human factors and ergonomics_Occupational safety and health_Injury prevention_Legislation_Sex offender_Poison control_Computer security_Suicide prevention_Deterrence theory
10.1037/1076-8971.10.4.443,Conscience_Life imprisonment_Psychology_Civil law (legal system)_Jury_Verdict_Sentence_Wainwright_Capital punishment_Criminology_Social psychology
10.1046/j.1365-3032.2002.00304.x,Taste receptor_Caterpillar_Grammia_Pyrrolizidine_Estigmene acrea_Sensillum_Botany_Biology_Taste_Sensory system
10.2307/2404508,Business_Wildlife conservation_Natural resource economics_Poaching_Legislation_Luangwa_Law enforcement_Poacher_Incentive_Environmental protection_Deterrence theory
10.1007/s10488-014-0555-3,Mental health_Health administration_Evidence-based practice_Health informatics_Psychology_Nursing_Cognitive processing therapy_Veterans Affairs_Health services research_Qualitative property
10.1177/1559827610396294,Human factors and ergonomics_Occupational safety and health_Injury prevention_Intimidation_Poison control_Risk factor_Homicide_Suicide prevention_Medical emergency_Medicine_Criminology
10.1111/lasr.12044,Norm (social)_Political economy_Sociology_Law_Legislation_International community_Legal norm_Social regulation_Female circumcision
10.1128/jb.01598-07,Gene_Genome_Insertion sequence_Whole genome sequencing_Clavibacter michiganensis_Niche adaptation_Chromosome_Pseudogene_Genetics_Biology
10.1002/jtr.614,Advertising_Psychology_Human factors and ergonomics_Occupational safety and health_Injury prevention_Accident prevention_Poison control_Structural barriers_Injury control_Suicide prevention_Applied psychology
10.1186/s12936-019-2692-3,Pesticide_Pyrethroid_Mosquito net_Anopheles fluviatilis_Long lasting_Who criteria_Positive control_Negative control_Toxicology_Biology
10.1093/jee/97.2.41410.1603/0022-0493-97.2.414,PEST analysis_Anthonomus_Curculionidae_Azadirachtin_Meliaceae_Boll weevil_Significant difference_Egg laying_Toxicology_Botany_Biology
10.1371/journal.pone.0145207,Mortality rate_Pyrethroid_Anopheles gambiae_Malaria_Indoor residual spraying_Anopheles_Insecticide-Treated Bednets_Toxicity_Toxicology_Biology
10.1023/b:joec.0000013185.62475.65,Bioassay_Flavones_Brassica_Crucifer_Flavanone_Mamestra configurata_Flavonoid_Flavonols_Botany_Biology
10.1016/j.cropro.2004.11.009,Agriculture_Flock_Crop_Horticulture_Caffeine_Seed treatment_Mixed species_Field conditions_Treatment rate_Toxicology_Biology
10.1007/s004649900785,Surgery_Asthma_Respiratory disease_Cholecystectomy_COPD_General anaesthesia_Pneumoperitoneum_Laparoscopy_Abdominal surgery_Anesthesia_Medicine
10.1086/656028,Economics_Common law_Law and economics_Corruption_Public choice_Law enforcement_Criminal procedure_Deterrence theory_Positive political theory_Rent-seeking
10.1016/j.jce.2007.06.001,Economics_Empirical evidence_Unemployment_Political instability_Estimation methods_Demographic economics_Inequality_Democracy_Deterrence theory_Endogeneity_Criminology
10.1007/978-4-431-55402-8_11,Norm (social)_Economics_Smoking behavior_Demographic economics_Socioeconomics_Economic anthropology_Panel data
10.1007/s42448-019-00017-6,No data.
10.1007/s10886-010-9823-1,Larva_PEST analysis_Cucurbitaceae_Pinocembrin_Flavonoid_Coccinellidae_Cucurbita maxima_Quercetin_Traditional medicine_Botany_Biology
10.1080/07418829600093011,Psychology_Metropolitan area_Mediation (Marxist theory and media studies)_Apprehension_Deterrence theory_Transactional leadership_Criminology_Typology
10.32508/stdj.v17i4.1547,Vietnamese_Internet privacy_Psychology_Software
10.1007/s00436-011-2355-y,Cymbopogon nardus_Basilicum_Aedes aegypti_Citronella oil_Ocimum_Officinalis_Celery Seed Oil_Apium graveolens_Toxicology_Botany_Biology
10.1257/aer.97.1.444,Criminal justice_Economics_Criminal law_Perception_Young male_Longitudinal data_Deterrence theory_Criminology
10.1080/01635588709513907,Recall_Epidemiology_Demography_Response rate (survey)_Average duration_Diet history_Colorectal cancer_Medicine_Gerontology
10.1046/j.1467-7652.2003.00047.x,Genetically modified crops_Cell wall_Glycoside_Linamarin_Cyanide_Acetone cyanohydrin_Hydroxynitrile lyase_Cyanide poisoning_Botany_Biology
10.1093/cesifo/ift016,Positive economics_Actuarial science_Economics_Expected utility hypothesis_Conviction_Acquittal_Loss aversion_Indignation_Prospect theory_Deterrence theory_Risk aversion
10.1111/j.1745-9125.1990.tb01323.x,Psychiatry_Engineering_Human factors and ergonomics_Occupational safety and health_Injury prevention_Recidivism_Poison control_Disposition_Suicide prevention_Domestic violence_Medical emergency
10.5812/ijhrba.4124,No data.
10.1037/0033-2909.113.3.497,Sociology_Law_Rationality_Decriminalization_Informal social control_Legislation_Legalization_Criminalization_Social issues_Moral reasoning
10.1515/znc-2004-1-222,Blennius_Cavernicola_Bioconversion_Aplysina aerophoba_Aerothionin_Aplysina cavernicola_Mediterranean climate_Chemical defense_Botany_Biology
10.1093/jee/99.6.205510.1603/0022-0493-99.6.2055,Imidacloprid_Malus_Thiacloprid_Fruit tree_Curculio_Thiamethoxam_Indoxacarb_Conotrachelus nenuphar_Toxicology_Biology
10.1002/cb.79,Empirical research_Business_Marketing_Consumer behaviour_Perception_Apprehension_Belief system_South east_Social psychology_Exploratory research_Theory of planned behavior
10.1111/j.1365-2664.2012.02109.x,Environmental resource management_Crop yield_Crop_Geography_Human–wildlife conflict_Threatened species_Pongo abelii_Positive attitude_Livelihood_Crop protection_Agroforestry
10.18553/jmcp.2019.25.1.102,Health care provider_Family medicine_Biosimilar_Medicine
10.1111/j.1557-9263.2006.00001.x,Fluctuating asymmetry_Predation_Ecology_Rump_Tasa_Body size_Body condition_Healthy individuals_Biology_Zoology
10.1002/ps.818,Lepidoptera genitalia_Spodoptera littoralis_Noctuidae_Limonoid_Khaya_Growth inhibition_Meliaceae_Traditional medicine_Botany_Biology_EC50
10.1016/s1526-9523(00)00018-0,Demography_Nursing_Poverty_Psychological intervention_Breastfeeding_Social support_Pregnancy_Ear infection_Postpartum period_Breast feeding_Medicine
10.1007/s10551-020-04502-8,Public economics_Business ethics_Norm (social)_Heuristics_Reference group_Economics_Tax rate_Incentive_Tax evasion_Survey experiment
10.5271/sjweh.1111,Actuarial science_Occupational safety and health_Systematic review_Evidence-based medicine_Workers' compensation_Law enforcement_Incentive_Health policy_Deterrence theory_Medicine
10.1002/jae.2326,Public economics_Advertising_Iceberg_Economics_Sanctions_Cartel_Law enforcement_Population_Wildlife_Crime detection
10.1111/j.1439-0418.2004.00829.x,Acute toxicity_Mode of action_Rocaglamide_Helicoverpa armigera_Noctuidae_Azadirachtin_Meliaceae_Instar_Toxicology_Traditional medicine_Biology
10.3354/meps059109,Predation_Nudibranch_Nembrotha_Chemical defense_Biology_Zoology
10.1016/s0006-2952(98)00080-x,Chemistry_Aldehyde dehydrogenase_Nitroxyl_Enzyme inhibitor_Dithiothreitol_Cyanamide_Thiol_Glutathione_Biochemistry_Stereochemistry_NAD+ kinase
10.1111/j.1570-7458.2008.00725.x,Terpenoid_Bicyclic molecule_Alphitobius diaperinus_Lactone_Monoterpene_Ketone_Darkling beetle_Mealworm_Botany_Stereochemistry_Biology
10.1093/jee/98.6.219510.1603/0022-0493-98.6.2195,Larva_Lepidoptera genitalia_Plutella_Permethrin_Diamondback moth_Plutellidae_Population_Toxicology_Veterinary medicine_Fecundity_Biology
10.1177/1541204004265864,Psychology_Human factors and ergonomics_Injury prevention_Adjudication_Juvenile court_Poison control_Normative_Suicide prevention_Juvenile delinquency_Criminology
10.1177/0022427897034004002,Developmental psychology_Conformity_Psychology_Risk perception_Perception_Sanctions_Multivariate analysis_Deterrence theory_Juvenile delinquency_Certainty_Social psychology
10.1177/0018726709334491,Wildfire suppression_Psychology_Social constructionism_Qualitative research_Dysfunctional family_Knowledge sharing_Sensemaking_Early warning signs_Public relations_Organizational safety
10.1016/j.injury.2009.10.053,3D reconstruction_Radiology_Tibial plateau fracture_Software_3d planning_Fracture site_Posttraumatic arthritis_Computed tomography_Medicine_Segmentation
10.1097/acm.0b013e318257ee6a,Psychology_As is_Mentorship_Harm_Misconduct_Research integrity_Public relations_Scientific misconduct
10.1007/s10144-010-0255-0,Ecology_Vole_Bank vole_Tetrao_Lagopus_Grouse_Population_Black grouse_Tetrao urogallus_Biology
10.1089/dia.2012.0139,Human–computer interaction_Behavior change_Usability_Psychological intervention_Health behavior_Data display_Diabetes self management_Computers handheld_Knowledge management_Medicine_Self care
10.1053/j.jvca.2014.04.012,Radiology_Ultrasound_Intensive care unit_Auscultation_Pneumothorax_Central venous catheter_Cardiac surgery_Pleural effusion_Intensive care_Medicine
10.1371/journal.pone.0041829,Food web_Food chain_Apex predator_Ecology_Congener_Consumer_Bioaccumulation_Trophic level_Biomagnification_Biology
10.1111/j.1672-9609.2005.00003.x,Horticulture_Larva_Lepidoptera genitalia_Beet armyworm_Noctuidae_Exigua_Azadirachtin_Azadirachta_Meliaceae_Agronomy_Biology
10.2139/ssrn.1372410,Commit_Economics_Microeconomics_Enforcement_Behavioral theory_Field data_Expected cost_Deterrence theory_Social psychology
10.1007/s13187-013-0496-7,Cancer_Young adult_Health Information National Trends Survey_Information access_Cancer prevention_Primary cancer_Healthcare providers_Fatalism_Medicine_Gerontology
10.1161/01.str.6.4.417,Microcirculation_Subarachnoid hemorrhage_Propranolol_Vasospasm_Vasoconstriction_Phenoxybenzamine_Beta-adrenergic blocking agent_Adrenergic receptor_Anesthesia_Medicine
10.1093/heapol/czn003,Ambulatory care_Health care_Marketing_Poverty_Indonesian_Economic growth_Financial management_Social Welfare_Indirect costs_Medicine_Program management
10.1155/2013/574136,RNase P_Cytotoxicity_Gene silencing_Molecular biology_Chemistry_HeLa_Chitosan_MTT assay_Viability assay_Transfection
10.1029/93jb00234,Coupling_Geology_Geodynamics_Eclogitization_Seismology_Subduction_Episodic tremor and slip_Seismic wave_Geophysics
10.1093/bjc/azt024,Engineering_Human factors and ergonomics_Occupational safety and health_Law and economics_Crime control_Praxis_Law enforcement_Poison control_Computer security_Deterrence theory_Politics
10.1007/s10530-009-9503-7,Invasive species_Introduced species_Habitat_Ecology_Seed predation_Rattus exulans_Plant Part_Animal ecology_Herbivore_Biology_Zoology
10.1111/j.1570-7458.1989.tb03575.x,Myrosinase_Brassicaceae_Sinapis_Brassica_Plutella_Glucosinolate_Diamondback moth_Plutellidae_Botany_Biology
10.4172/2161-0983.1000169,Horticulture_Pesticide_Phytochemical_Aphid_Aphididae_Homoptera_Myzus persicae_Dimethoate_Solanum incanum_Biology
10.1111/j.1365-2761.2008.01004.x,Integrated pest management_Aquatic animal_Kairomone_Ecology_Sea louse_Louse_Attraction_Lepeophtheirus_Generalist and specialist species_Biology
10.1177/1462474507087199,Life imprisonment_Retributive justice_Psychology_Instrumentalism_Morality_Opposition (planets)_Multivariate analysis_Democracy_Deterrence theory_Social psychology
10.4236/ns.2010.24049,No data.
10.15288/jsa.2004.65.450,Per capita_Human factors and ergonomics_Occupational safety and health_Injury prevention_Law_Legislation_Mothers Against Drunk Driving_Poison control_Suicide prevention_Medicine
10.1371/journal.pone.0212576,Myiasis_Essential oil_Calliphoridae_Lucilia_Medicinal plants_Fumigation_Lavandula angustifolia_Secondary infection_Traditional medicine_Biology
10.1007/s00181-012-0642-9,Econometrics_Economics_Law enforcement_Causal effect_Unemployment rate_Time windows_Deterrence theory_Regression discontinuity design
10.3389/fpls.2017.00411,Abiotic component_Chemistry_Heavy metals_Physical Barrier_Fungal hyphae_Plant growth_Plant metabolism_Environmental protection_Silicon_Botany_Metalloid
10.1038/nature03551,Intraspecific competition_Foraging_Predation_Ecology_Phascolarctidae_Eucalyptus_Population_Phascolarctos cinereus_Herbivore_Biology
10.1371/journal.pone.0155690,Agriculture_Crop_Wildlife conservation_Ecology_Human–wildlife conflict_Honey bee_Beehive_Loxodonta africana cyclotis_Wildlife_Agroforestry_Biology
10.3386/w18887,No data.
10.1111/j.1439-0310.2009.01732.x,Kin recognition_Adaptation_Ecology_Adaptive behavior (ecology)_Kin selection_Population_Inclusive fitness_Biological dispersal_Biology_Territoriality
10.1200/jco.1991.9.11.2067,Cancer_Surgery_Randomized controlled trial_Protocol design_Standard of care_Cancer treatment_Family medicine_Clinical trial_Medicine
10.1037//0882-7974.6.2.223,Social environment_Social class_Mental health_Developmental psychology_Distress_Cross-sectional study_Psychology_Working class_Social support_Population
10.1257/aer.20180501,Public economics_Economics_Occupational safety and health_Job satisfaction_Incentive_Workplace safety_Press release_Deterrence theory
10.1017/s1074070800029059,Economics_Cellulosic ethanol_Agribusiness_Net present value_Raw material_Cane_Sweet sorghum_Agricultural economics_Biodiesel_Biofuel_Agricultural engineering
10.2307/3053071,Retributive justice_Norm (social)_Economics_Law and economics_Sanctions_Social justice_Normative_Deviance (sociology)
10.1111/j.1526-4637.2009.00736.x,Recreation_Psychiatry_Medical prescription_Opioid_Preference rating_Prescription opioid_Abuse deterrent_Random intercept_Attractiveness_Medicine
10.1111/j.1533-8525.2007.00086.x,Empirical research_Sociology_Human factors and ergonomics_Life course approach_Injury prevention_Poison control_Social science_Suicide prevention_Juvenile delinquency_Social psychology_Deviance (sociology)
10.1117/12.524865,Currency_Perception_Cash_Counterfeit_Bank teller_Optical security_Computer security_Computer science_Whole note
10.1007/s00049-004-0277-1,No data.
10.1128/aem.03721-14,Gene_Allele_Pera_Fungal protein_Mutation_DNA sequencing_Genetics_Null allele_Biology_Phylogenetics
10.1016/j.scitotenv.2004.04.011,No data.
10.1207/s15327027hc1201_04,Nursing_Health care_Family caregivers_Disease_Older patients_Health condition_Nursing staff_Medicine_Exploratory research
10.1177/0951692898010001003,Special case_Complete information_Positive economics_Conceptual model_Economics_Game theory_Deterrence theory_Social psychology
10.1177/1545109709356355,Nursing_Health care_Stigma (botany)_Serostatus_Voluntary counseling and testing_Acquired immunodeficiency syndrome (AIDS)_Population_Family medicine_Social issues_Medicine_Developing country
10.1375/acri.43.1.130,Self-efficacy_Higher education_Rational choice theory_Psychology_Sanctions_Misconduct_Deterrence theory_Certainty_Social psychology_Situational ethics
10.1002/smj.2383,Imitation_Organizational architecture_Marketing_Negative relationship_Empirical evidence_Organizational structure_Value capture_Absorptive capacity_Knowledge retrieval_Industrial organization_Medicine
10.17310/ntj.2005.2.02,Welfare_Labour economics_Tax credit_Economics_Earned income tax credit_Obligation_Data source_Double taxation
10.1016/0003-3472(95)80094-8,Acrididae_Alkaloid_Lobeline_Nicotine_Hyoscyamine_Taste Threshold_Habituation_Botany_Biology_Taste_Pharmacology
10.1093/jla/1.2.553,Psychology_Ideology_Isolation effect_World wide_Deterrence theory_Social psychology_Statistical power
10.1093/wbro/9.2.273,No data.
10.1007/bf00988921,Entomology_Larva_Insect_Pasture_Phytoalexin_Costelytra zealandica_Botany_Agronomy_Biology
10.1007/bf02712112,Bioassay_Mode of action_Lepidoptera genitalia_Spodoptera litura_Helicoverpa armigera_Noctuidae_Azadirachta_Food science_Instar_Botany_Biology
10.1007/s10903-013-9786-8,Ethnic group_Grounded theory_Health equity_Psychological intervention_Health literacy_Population_Pacific islanders_Focus group_Clinical psychology_Medicine_Gerontology
10.1038/sj.ki.5000240,Epidemiology_Internal medicine_Urology_Surgery_Renal function_Wilcoxon signed-rank test_Iohexol_Outpatient clinic_Ambulatory_Linear regression_Nephrology_Medicine
10.1016/j.joep.2015.11.004,Public economics_Business_Microeconomics_Moderated mediation_Procedural justice_Slippery slope_Compliance behavior_Coercive power_Interactive effects_Developing country
10.2307/4002520,Woody plant_Ecology_Nutrient stress_Light stress_Herbivore_Chemical defense_Botany_Defence mechanisms_Biology
10.4148/2378-5977.1161,Noxious weed_Forb_Grazing_Pasture_Lespedeza_Lespedeza cuneata_Grazing pressure_Population_Agronomy_Biology
10.1021/jf9012983,Sitophilus_Schinifoline_Zanthoxylum schinifolium_Medicinal herbs_Traditional medicine_Botany_Biology
10.1080/00213624.2017.1287510,Political economy_Nexus (standard)_Empirical evidence_Political science_Oppression_Population_Simulation methods_Democracy_Politics
10.1111/aje.12070,Mutualism (biology)_Ecology_Gonometa postica_Insect_Vachellia erioloba_Crematogaster_Hymenoptera_Aculeata_Herbivore_Biology
10.1007/s00049-007-0370-3,Aposematism_Endoplasmic reticulum_Larva_Cytoplasm_Metathorax_Lampyridae_Light emission_Botany_Apex (geometry)_Biology
10.1074/jbc.m206912200,Mutant_Protein family_Enhancer binding_Compact form_Energy coupling_A protein_Amino acid_Biochemistry_Biology_Activator (genetics)_Cell biology
10.1375/acri.42.1.24,Publishing_Psychology_Project commissioning_Recidivism_Juvenile court_Longitudinal study_Deterrence theory_Labeling theory_Juvenile delinquency_Criminology
10.1111/j.1574-6941.2008.00452.x,Sexual reproduction_Ecology_Endophyte_Fungus_Epichloë_Clavicipitaceae_Ascomycota_Spore germination_Botany_Biology_Plant use of endophytic fungi in defense
10.1111/j.1467-9221.2004.00377.x,Economics_Microeconomics_Expected utility hypothesis_Sanctions_Conventional wisdom_Prospect theory_Deterrence theory_Social psychology
10.1093/oxfordjournals.bjc.a048400,Criminal justice_Psychology_Peacemaking_Redress_Reintegrative shaming_Penology_Shame_Restorative justice_Juvenile delinquency_Criminology_Social psychology
10.1007/s00442-005-0274-2,Plankton_Zooplankton_Ecology_Copepod_Karenia brevis_Dinoflagellate_Phytoplankton_Acartia tonsa_Red tide_Biology
10.1111/j.1365-2427.2006.01669.x,Macrophyte_Ecology_Typha_Common carp_Ceratophyllum demersum_Carp_Scirpus_Stuckenia pectinata_Herbivore_Biology
10.1021/jf0502202,Destructor_Medicarpin_Mite_Linalool_Penthaleidae_Acari_Trifolium subterraneum_Trifolium glanduliferum_Botany_Biology
10.1007/s00284-003-4056-y,Hemolymph_Midgut_Toxin_Lygus hesperus_Bacillus thuringiensis_Cry1Ac_Extracellular_Brush border_Biochemistry_Biology
10.1080/13602000903166606,Standard of living_Government_Political science_Workforce_Women in government_Continuing education_Development economics_Economic growth
10.1016/j.ibmb.2014.04.001,Metamorphosis_Nuptial gift_Larva_Pupa_Lepidoptera genitalia_Linamarin_Lotaustralin_Lotus corniculatus_Botany_Biology
10.3354/esr00208,Oceanography_Cave_Monachus monachus_Resting time_Small sample_Average duration_Environmental science_Mediterranean climate
10.1007/s11701-008-0110-x,Surgery_Ureter_Pelvis_Concomitant_Lower urinary tract symptoms_Laparoscopic radical prostatectomy_Abdomen_Bladder diverticulum_Medicine_Urinary system
10.1053/jpan.2003.18030008,Professional association_Nursing_Health care_MEDLINE_Quality nursing care_Postanesthesia Nursing_Professional standards_Cultural environment_Professional development_Medicine
10.1578/am.34.2.2008.182,River delta_Herding_Humpback whale_Health assessment_Whale_Cow-calf_Population_Antibiotic therapy_Fishery_Biology
10.1007/s00436-012-3083-7,Ageratum_Culex quinquefasciatus_Aedes aegypti_Ageratum houstonianum_Culex_Anopheles stephensi_Aedes_Anopheles_Traditional medicine_Botany_Biology
10.1016/s0022-1910(99)00197-3,Larva_Stimulation_Heliothis subflexa_Heliothis virescens_Sinigrin_Heliothis_Nervous system_Botany_Biology_Sensory system
10.1016/j.bmcl.2010.11.101,Pesticide_Chemistry_Aedes albopictus_Aedes aegypti_Aryl_Vector management_Egg laying_Activity index_Toxicology
10.1371/journal.pone.0047611,Molecular biology_Homology modeling_Affinity chromatography_Complementary DNA_Molecular cloning_Spodoptera litura_Spodoptera_Chemosensory protein_Open reading frame_Biology
10.1016/j.aap.2005.11.001,Psychology_Human factors and ergonomics_Injury prevention_Recidivism_Sanctions_Drunk drivers_Poison control_Suicide prevention_Deterrence theory_Social psychology
10.1111/j.1365-3032.2012.00847.x,Horticulture_Orange oil_Limonene_Tephritidae_Anastrepha suspensa_Linalool_Ceratitis capitata_Terpene_Botany_Orange (colour)_Biology
10.3389/fpls.2014.00470,Cell wall_Innate immune system_Jasmonate_Systemin_Salicylic acid_Jasmonic acid_Abscisic acid_Callose_Botany_Biology_Cell biology
10.1016/j.toxicon.2004.04.001,Calcium imaging_Alkaloid_Aplysia punctata_Pyrrole_Sceptrin_Agelas_Depolarization_Calcium_Biochemistry_Stereochemistry_Biology
10.1016/j.jnutbio.2012.08.010,Aromatase_Estrogen_Hesperetin_Selective estrogen receptor modulator_Letrozole_Breast cancer_Medicine_Ovariectomized rat_Drug interaction_Pharmacology
10.1111/j.1465-3362.2008.00038.x,Engineering_Human factors and ergonomics_Injury prevention_Crime prevention_Aggression_Poison control_Suicide prevention_Social psychology_Social interactionist theory_Situational ethics
10.1021/jf010766y,Bioassay_Biological activity_Biopesticide_Larva_PEST analysis_Withanolide_Solanaceae_Salpichroa origanifolia_Food science_Botany_Biology
10.1023/b:joec.0000017978.73061.a0,Larva_Lepidoptera genitalia_Papilio xuthus_Swallowtail butterfly_Orixa japonica_Japonica_Rutaceae_Hydroxybenzoic acid_Botany_Biology
10.2139/ssrn.1939586,Business_Transport engineering_Heavy traffic_Natural experiment
10.1016/s0002-8223(00)00427-2,Continuing professional development_Nursing_Disengagement theory_Medicine
10.7554/elife.18425,DNA damage_Nucleophile_Chemistry_Ecology_Insect_Nucleus_Electrophile_Ion channel_Carbon monoxide_Proton_Photochemistry
10.1111/j.0011-1348.2005.00019.x,Psychology_Risk perception_Human factors and ergonomics_Injury prevention_Crime control_Poison control_Multilevel model_Deterrence theory_Social psychology_Punitive damages
